"attributes","Id","MetadataComponentId","MetadataComponentName","MetadataComponentNamespace","RefMetadataComponentId","RefMetadataComponentName","RefMetadataComponentNamespace","RefMetadataComponentType"
"{""type"":""MetadataComponentDependency"",""url"":""/services/data/v56.0/tooling/sobjects/MetadataComponentDependency/000000000000000AAA""}","000000000000000AAA","00h4x0000092e51AAA","Opportunity (Support) Layout",,"00N4x00000TeONFEA3","DeliveryInstallationStatus",,"CustomField"
"{""type"":""MetadataComponentDependency"",""url"":""/services/data/v56.0/tooling/sobjects/MetadataComponentDependency/000000000000000AAA""}","000000000000000AAA","00h4x0000092e51AAA","Opportunity (Support) Layout",,"00N4x00000TeONGEA3","MainCompetitors",,"CustomField"
"{""type"":""MetadataComponentDependency"",""url"":""/services/data/v56.0/tooling/sobjects/MetadataComponentDependency/000000000000000AAA""}","000000000000000AAA","00h4x0000092e51AAA","Opportunity (Support) Layout",,"00N4x00000TeONHEA3","OrderNumber",,"CustomField"
"{""type"":""MetadataComponentDependency"",""url"":""/services/data/v56.0/tooling/sobjects/MetadataComponentDependency/000000000000000AAA""}","000000000000000AAA","00h4x0000092e51AAA","Opportunity (Support) Layout",,"00N4x00000TeONIEA3","TrackingNumber",,"CustomField"
"{""type"":""MetadataComponentDependency"",""url"":""/services/data/v56.0/tooling/sobjects/MetadataComponentDependency/000000000000000AAA""}","000000000000000AAA","00h4x0000092e51AAA","Opportunity (Support) Layout",,"00b4x000002BmblAAC","Delivery Status",,"WebLink"
"{""type"":""MetadataComponentDependency"",""url"":""/services/data/v56.0/tooling/sobjects/MetadataComponentDependency/000000000000000AAA""}","000000000000000AAA","00h4x0000092e52AAA","Opportunity Layout",,"00N4x00000TeONEEA3","CurrentGenerators",,"CustomField"
"{""type"":""MetadataComponentDependency"",""url"":""/services/data/v56.0/tooling/sobjects/MetadataComponentDependency/000000000000000AAA""}","000000000000000AAA","00h4x0000092e52AAA","Opportunity Layout",,"00N4x00000TeONFEA3","DeliveryInstallationStatus",,"CustomField"
"{""type"":""MetadataComponentDependency"",""url"":""/services/data/v56.0/tooling/sobjects/MetadataComponentDependency/000000000000000AAA""}","000000000000000AAA","00h4x0000092e52AAA","Opportunity Layout",,"00N4x00000TeONGEA3","MainCompetitors",,"CustomField"
"{""type"":""MetadataComponentDependency"",""url"":""/services/data/v56.0/tooling/sobjects/MetadataComponentDependency/000000000000000AAA""}","000000000000000AAA","00h4x0000092e52AAA","Opportunity Layout",,"00N4x00000TeONHEA3","OrderNumber",,"CustomField"
"{""type"":""MetadataComponentDependency"",""url"":""/services/data/v56.0/tooling/sobjects/MetadataComponentDependency/000000000000000AAA""}","000000000000000AAA","00h4x0000092e52AAA","Opportunity Layout",,"00N4x00000TeONIEA3","TrackingNumber",,"CustomField"
