"type","name","dataflowName","datasetName","dashboardName","dashboardNames","lensName","lensNames","InSecurityPredicate","usageCount","inUse"
"dimension","Opportunity.CloseDate_Month","The_Motivator","activity",,"",,"",false,0,false
"dimension","Opportunity.CloseDate_Week","The_Motivator","activity",,"",,"",false,0,false
"dimension","Opportunity.CloseDate_Day","The_Motivator","activity",,"",,"",false,0,false
"dimension","Opportunity.CloseDate_Hour","The_Motivator","activity",,"",,"",false,0,false
"dimension","Opportunity.CloseDate_Minute","The_Motivator","activity",,"",,"",false,0,false
"dimension","Opportunity.CloseDate_Second","The_Motivator","activity",,"",,"",false,0,false
"dimension","Opportunity.CreatedDate","The_Motivator","activity",,"",,"",false,0,false
"dimension","Opportunity.CreatedDate_Year","The_Motivator","activity",,"",,"",false,0,false
"dimension","Opportunity.CreatedDate_Quarter","The_Motivator","activity",,"",,"",false,0,false
"dimension","Opportunity.CreatedDate_Month","The_Motivator","activity",,"",,"",false,0,false
"dimension","Opportunity.CreatedDate_Week","The_Motivator","activity",,"",,"",false,0,false
"dimension","Opportunity.CreatedDate_Day","The_Motivator","activity",,"",,"",false,0,false
"dimension","Opportunity.CreatedDate_Hour","The_Motivator","activity",,"",,"",false,0,false
"dimension","Opportunity.CreatedDate_Minute","The_Motivator","activity",,"",,"",false,0,false
"dimension","Opportunity.CreatedDate_Second","The_Motivator","activity",,"",,"",false,0,false
"dimension","Subject","The_Motivator","activity","The_Motivator_1","The_Motivator_2,The_Motivator_1",,"",false,2,true
"dimension","Owner.Role.Roles","The_Motivator","activity",,"",,"",false,0,false
"dimension","CustomFilter","The_Motivator","activity",,"",,"",false,0,false
"dimension","Owner.Role.ParentRole.DeveloperName","The_Motivator","activity",,"",,"",false,0,false
"dimension","Opportunity.OwnerId","The_Motivator","activity",,"",,"",false,0,false
"dimension","Account.Name","The_Motivator","activity","The_Motivator_1","The_Motivator_2,The_Motivator_1",,"",false,2,true
"measure","LastModifiedDate_day_epoch","The_Motivator","activity",,"",,"",false,0,false
"measure","LastModifiedDate_sec_epoch","The_Motivator","activity",,"",,"",false,0,false
"measure","DaysOverdue","The_Motivator","activity","The_Motivator_1","The_Motivator_2,The_Motivator_1",,"",false,2,true
"measure","ActivityDate_day_epoch","The_Motivator","activity",,"",,"",false,0,false
"measure","ActivityDate_sec_epoch","The_Motivator","activity",,"",,"",false,0,false
"measure","CallDurationInSeconds","The_Motivator","activity",,"",,"",false,0,false
"measure","CreatedDate_day_epoch","The_Motivator","activity",,"",,"",false,0,false
"measure","CreatedDate_sec_epoch","The_Motivator","activity",,"",,"",false,0,false
"measure","DurationInMinutes","The_Motivator","activity",,"",,"",false,0,false
"measure","Opportunity.CloseDate_day_epoch","The_Motivator","activity",,"",,"",false,0,false
"measure","Opportunity.CloseDate_sec_epoch","The_Motivator","activity",,"",,"",false,0,false
"measure","Opportunity.CreatedDate_day_epoch","The_Motivator","activity",,"",,"",false,0,false
"measure","Opportunity.CreatedDate_sec_epoch","The_Motivator","activity",,"",,"",false,0,false
